,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,448,,131,,4752,,1602,Year,84,Lat,76,Unit,14,First name,12,MONTH,840,These data are from the startup to the Amerifux tower site in Costa Rica.,3,Date,28,,489,planted,24,pH Scale,5,LAND_OWN,62
1,Error,176,O2,69,"Enter decimal fractions of degrees:  (+ = E, - = W)",342,Station,210,Date,38,pCO2_sw,66,Parameter,12,Alberto,12,YEAR,840,0.0,0.0,CH4-SIL,16,Latitude,248,harvest,22,Set of Constants,5,DIST_1,60
2,Error code,160,Depth,60,Westernmost Longitude:,342,Comments,207,Hour,31,fCO2_sw,66,ANT XI/1,9,Principal Investigator,12,HOUR,840,0.0,0.0,SIL ID #,16,Longitude,248,fertilized,22,[B]T Value,5,VEG_TYPE,60
3,SiteID:,134,Temp.,42,Start Date: (YYYYMMDD) ,272,Time(UTC),204,Month,31,pCO2_atm,66,ANT XI/5,9,0.0,0.0,DAY,840,0.0,0.0,Del 13C,16,Salinity,210,underburn,22,KHSO4,5,LAI<n>_TECHNIQUE,60
4,LAT,108,DIC,33,Temporal Coverage,272,Mo,204,Latitude,30,T_equ,66,Column,9,0.0,0.0,SEC,780,0.0,0.0,CH4-CMDL,10,Sea xpco2,207,DIST<n>,16,KHF,3,,6
5,SST,102,Alk,30,Initial Submission: (YYYYMMDD) ,166,Year,204,Min,30,DOY,66,ANT X/8,6,0.0,0.0,ATM_PRE,780,0.0,0.0,Long.(W),9,Wet Bulb,207,Site disturbance history code,14,0.0,0.0,Private,2
6,PATM,102,NO3,27,Submission Dates (will be completed by the data management),166,Day,201,Longitude,30,fCO2_atm,66,ANT X/1A,6,0.0,0.0,LONGITUDE,780,0.0,0.0,Lat.(N),9,sea pCO2 ,207,till,8,0.0,0.0,Land ownership type,2
7,LONG,102,SiO4,27,Ship,141,stdev,18,Depth,27,T_sea,66,SOIREE_transect,6,0.0,0.0,EXPOCODE,780,0.0,0.0,Station,6,Pressure(sea level),207,grassland/ungrazed,4,0.0,0.0,0.0,0.0
8,SSS,87,PO4,27,Measurement platform ID:,141,Sample,6,Salinity,27,P_atm,66,SOIREE_fCO2air,6,0.0,0.0,MIN,780,0.0,0.0,Hydrologic Day of Year,4,Dry Bulb,207,grassland/grazed,4,0.0,0.0,0.0,0.0
9,DATE/Hour,72,Salinity,22,CTD,135,Numerator,6,Sec,24,ΔfCO2,66,ANT X/6,6,0.0,0.0,LATITUDE,780,0.0,0.0,Hydro Year Total (mm),4, Air xpco2,207,tilled,4,0.0,0.0,0.0,0.0
10,Leaf Area Index,54,Sal.,21, ,125,578(Av),6,pCO2air,21,xCO2_equ,66,Col,3,0.0,0.0,EQ_TMP,390,0.0,0.0,Event # in Hydro Year,4,Year,207,insects and pathogens,2,0.0,0.0,0.0,0.0
11,LAI<n>,54,Sal,21,Precision,110,434(Av),6,Wind speed,21,Lon,66,HIPPO program's description,2,0.0,0.0,XCO2_AIR_INT,390,0.0,0.0,Precip Event (mm),4,T Equil,207,natural regeneration,2,0.0,0.0,0.0,0.0
