,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,24,,159,,1999,LAT,37,"ΔR=
14C Age-Marine09",2,Lat,23,stdev,6,MIN,260,1,9,Ryofu_Maru_2010_2013,8,f(CO2) for air in equilibrium with seawater at sea surface temperature (µatm),2,Cruise,3,OBSERVER,2,Metadata element name,11,Date,4
1,Depth,19,Latitude,93,"Enter decimal fractions of degrees:  (+ = E, - = W)",113,PATM,35,Depth (m),2,ΔfCO2,22,730(Av),2,YEAR,260,3,8,Keifu_Maru_2001_2012,8,Sea surface temperature (in situ) (°C),2,Ship,3,COMMENTS,2,Help reference no.,11,Long.(W),3
2,O2,18,Longitude,93,Westernmost Longitude:,113,SST,35,Laboratory Code,2,Lon,22,Sample,2,MONTH,260,6,8,metadata ,8,"Latitude in decimal degrees (North is positive, South is negative)",2,To,2,CRUISE_NAME,2,Your input,11,Lat.(N),3
3,Temp.,14,Salinity,80,Start Date: (YYYYMMDD) ,90,LONG,35,Reference,2,pCO2_sw,22,578(Av),2,ATM_PRE,260,11,8,Ryofu_Maru_2000_2009,8,Barometric pressure (hPa),2,Detour Latitude,2,CRUISE_ID,2,No,11,Station,2
4,Alk,10,Year,80,Temporal Coverage,90,SSS,30,Error (±),2,T_sea,22,Denominator,2,LATITUDE,260,5,8,Ryofu_Maru_1989_1995,8,Sea surface salinity (in situ),2,End Latitude,2,ARRIVE_PORT,2,0.0,0.0,Patm,2
5,DIC,10,Pressure(sea level),69,Time(UTC),68,DATE/Hour,24,Δ14C,2,fCO2_atm,22, pH ,2,HOUR,260,9,8,Keifu_Maru_2012_2013,8,Mole fraction of CO2 in air from equilibrator (µmol/mol),2,Parameter,2,SHIP/EXPERIMENT,2,0.0,0.0,Tpot,1
6,NO3,9,Speed,69,Mo,68,TEQ,18,Year (AD),2,S_sea,22,Numerator,2,EXPOCODE,260,7,8,0.0,0.0,Temperature of equilibration,2,Area,2,ARRIVE_DATE,2,0.0,0.0,pHSWS25,1
7,SiO4,8,Sea xpco2,69,Station,68,EXPOCODE,16,pMC,2,ΔpCO2,22, Ratio [R],2,DAY,260,12,8,0.0,0.0,x(CO2) for air in equilibrium with the seawater at sea surface temperature and 1013.25 hPa applied pressure (expressed as µmol/mol in dry air),2,File,2,LEG,2,0.0,0.0,Type,1
8,PO4,8,SST,69,Year,68,FLUO,13,Latitude,1,xCO2_equ,22,434(Av),2,LONGITUDE,260,8,8,0.0,0.0,"Longitude in decimal degrees (East is positive, West is negative)",2,From,2,DEPARTURE_DATE,2,0.0,0.0,fCO2 sw (1013hPa),1
9,Sig-t,7,Dry Bulb,69,Day,67,CAP,13,Longitude,1,pCO2_atm,22,T,1,SEC,260,4,8,0.0,0.0,p(CO2) for air in equilibrium with seawater at sea surface temperature (µatm),2,Depth_sampling (m),2,DEPARTURE_PORT,2,0.0,0.0,Tis,1
10,Trans,7,Air pCO2,69,Comments,67,FCO2(1013),13,Sample ID,1,fCO2_sw,22,434,1,XH2O,130,2,8,0.0,0.0,Date / Time (UTC),2,End data,2,0.0,0.0,0.0,0.0,O2,1
11,Sal,7,Dy,69,Initial Submission: (YYYYMMDD) ,54,VIT,13,Error (+),1,DOY,22,Anal. Date,1,XCO2_AIR,130,13,8,0.0,0.0,Pressure of equilibration = the pressure in the equilibration vessel (hPa),2,Remarks,2,0.0,0.0,0.0,0.0,Long ºW,1
12,Sal.,7,T Equil,69,Submission Dates (will be completed by the data management),54,xCO2,13,Sample Integration (yrs),1,T_equ,22,578,1,SST,130,10,8,0.0,0.0,Location,2,Endcruise,2,0.0,0.0,0.0,0.0,Sal ,1
13,      ,6,Time(UTC),69,Ship,47,FCO2(PATM),12,Site,1,P_atm,22,730,1,EQ_TMP,130,14,5,0.0,0.0,Mole fraction of of H2O in air from equilibrator (µmol/mol),2,End Longitude,2,0.0,0.0,0.0,0.0,sst,1
