,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,SD,730,,1464,other,273,LONGITUDE,775,,159,SD,4310,,534,1,19,SST,47,TIME_UTC_hh:mm:ss,534,JD_GMT,210,Expocode: 33RR20160208,1,### PFS Polarstern continuous surface water fCO2 dataset. General Oceanics 8050 continuous pCO2 measurements setup.,23,BOTTLE,638,Time,289
1,Date/Time,175,Westernmost Longitude:,113,Year,117,EXPOCODE,762,Latitude,95,DATE,776,Station,69,YEAR_DEC,9,SSS,38,xCO2_EQU_ppm,534,SST(TSG)_C,210,0.0,0.0,0.0,0.0,20130510GEMDJMAYT,67,Date,288
2,QF,169,"Enter decimal fractions of degrees:  (+ = E, - = W)",113,Month,115,LATITUDE,755,Longitude,95,ATM_PRE,775,Comments,68,10,8,LAT,35,SST_C,534,LAT_DEC_DEGREE,130,0.0,0.0,0.0,0.0,20100108MIRCJHATS,39,Latitude,286
3,QC Note,145,Start Date: (YYYYMMDD) ,90,Hour,108,DAY,627,Salinity,70,SSS,762,Mo,68,6,8,LONG,35,TEMP_EQU_C,534,LONG_DEC_DEGREE,130,0.0,0.0,0.0,0.0,20091206MIRCJHATS,23,Longitude,286
4,Lat,140,Temporal Coverage,90,Day,108,MONTH,627,Year,70,EQ_TMP,759,Year,68,3,8,PATM,35,dfCO2_uatm,534,TIME_HH:MM:SS,130,0.0,0.0,0.0,0.0,20140129PRINUNIVRMK,18,F,270
5,Mode,134,Initial Submission: (YYYYMMDD) ,54,Second,100,YEAR,627,Pressure(sea level),69,LATITUDE,758,Time(UTC),68,LATY,8,DATE/Hour,24,SAL_permil,513,fCO2W@SST_uATM,130,0.0,0.0,0.0,0.0,20100528MIRCJHATS,12,QF,252
6,xCO2,131,Submission Dates (will be completed by the data management),54,Minute,99,HOUR,516,T Equil,69,LONGITUDE,758,Day,67,8,8,TEQ,18,xCO2_ATM_ppm,502,PRES_EQUIL_hPa,130,0.0,0.0,0.0,0.0,20120209PACIFICA1201b2,9,H2O (mmol/mol),252
7,Lon,129,Measurement platform ID:,47,Day of Year,78,EQ_PRE,512,Mo,69,TIME,734,stdev,6,11,8,EXPOCODE,16,LONG_dec_degree,502,SAL(TSG)_PERMIL,130,0.0,0.0,0.0,0.0,20091215PRINUNIVRMK,8,,250
8,EXPOCODE,122,Ship,47,SSS ,61,EQ_TMP,512,sea pCO2 ,69,XCO2_AIR,698,578(Av),2,13,8,MM,15,PRES_EQU_hPa,502,EqTEMP_C,130,0.0,0.0,0.0,0.0,20140131PRINUNIVRMK,8,dfCO2,212
9,LATITUDE,93,CTD,45,Cruise_ID,59,SST,435,Time(UTC),69,DEL_FCO2,680,730(Av),2,4,8,VIT,13,WOCE_QC_FLAG,502,PRES_SEALEVEL_hPa,124,0.0,0.0,0.0,0.0,20140206PRINUNIVRMK,6,dpCO2,154
10,LONGITUDE,92, ,41,Atm. xCO2 (dry) [ppm],58,ATM_PRE,427,SST,69,SST,676, pH ,2,LNGY,8,CAP,13,xCO2_ATM_interpolated_ppm,502,fCO2A_uATM,120,0.0,0.0,0.0,0.0,20121206MIRCJHATS,6,Salinity,153
11,CTDTMP,91,Precision,36,Atm. Pressure [mbar],58,SEC,416,Sea xpco2,69,XCO2_EQ,641,Denominator,2,2,8,FLUO,13,LAT_dec_degree,502,xCO2W_PPM,120,0.0,0.0,0.0,0.0,20110427IOSDFOJC,6,SST (C),152
12,ALKALI,90,CO2 Sensors,33,Latitude [deg N],58,MIN,416,Dy,69,CRUISE,607,434(Av),2,9,8,xCO2,13,fCO2_ATM_interpolated_uatm,502,CRUISE_DESIGNATION,120,0.0,0.0,0.0,0.0,20091203PRINUNIVRMK,5,pCO2 Air (sat) uatm,152
13,DATE,88,CO2 Sensor,33,"Atm xCO2 (dry, running mean) [ppm]",58,SSS,415,Air pCO2,69,EQ_PRE,594, Ratio [R],2,12,8,FCO2(1013),13,PRES_ATM@SSP_hPa,502,dfCO2_uATM,120,0.0,0.0,0.0,0.0,20020816WHPSIOHLB,5,Mooring Name,152
14,TCARBN,88,NDIR,33,"xCO2 (equi temp, dry) [ppm]",58,XCO2_AIR_INT,322,Wet Bulb,69,FCO2_AIR,471,Numerator,2,5,8,FCO2(PATM),12,QC_SUBFLAG,501,GROUP/SHIP,120,0.0,0.0,0.0,0.0,20110314JAMSTECRIGC,5,pCO2 SW (sat) uatm,152
15,SILCAT,86,RV Cefas Endeavour,27,Equi Temp [deg C],58,FCO2_WAT,283, Air xpco2,69,FCO2_EQ,461,Dye,1,7,8,DATHEUR,9,fCO2_SW@SST_uatm,490,xCO2A_PPM,120,0.0,0.0,0.0,0.0,20081204PRINUNIVRMKPRINUNIVRMK,5,Licor Temp (C),151
16,TCARBN_FLAG_W,85,20051128,25,Equi Press [mbar],58,CRUISE,243,Speed,69,PCO2_AIR,453,Comment,1,SST,6,SAL,9,DATE_UTC__ddmmyyyy,456,xCO2A_INTERPOLATED_PPM,105,0.0,0.0,0.0,0.0,20081215PRINUNIVRMK,4,xCO2  SW (dry) (umol/mol),146
17,SALNTY,85,0.5 uatm,23,"pCO2 (SST, 100hum) [uatm]",58, XCO2_EQ,191,Dry Bulb,69,DEL_PCO2,449,578,1,14,5,FCO2_WAT,8,Expocode,396,DATE_DDMMYYYY,94,0.0,0.0,0.0,0.0,20010907WHPSIOdm,4,xCO2  Air (wet) (umol/mol),146
18,ALKALI_FLAG_W,85,RV Prince Madog,20,"fCO2 (SST, 100hum) [uatm]",58, SST,191,humid,39,AIR_TMP,446,Anal. Date,1,TWD,5,MOORING,8,YD_UTC,373,DATE_MM/DD/YYYY,91,0.0,0.0,0.0,0.0,20130925PRINUNIVRMK,4,xCO2  Air (dry) (umol/mol),146
19,STNNBR,84,20120216,20,Longitude [deg E],58,XCO2_AIR,182,interp,19,XCO2_AIR_FLAG,435,Cell,1,TWS,5,HH,8,Group,321,QC_FLAG,86,0.0,0.0,0.0,0.0,20160204PRINUNIVRMK,4,fCO2  Air (sat) uatm,146
