,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,QF [QF],63,,1464,SD,4310,other,273,QF,169,,534,LATITUDE,93,SD,730,,159,1,19,,36,Time,289,SST,47,F,33,EQ_PRE,290,BOTTLE.20091116CCHDOSIOSCD,1,Group/ship,14,BOTTLE,638,Date,8,### PFS Polarstern continuous surface water fCO2 dataset. General Oceanics 8050 continuous pCO2 measurements setup.,23,dfCO2_uatm,534,JD_GMT,210,EXPOCODE,12,Y;M;D;H;Min;lon;lat;NO3+2;SiO3;Sal;Chlorophyll;Pheophytin;TCO2;Alk,16,Principal Investigator,4,D;M;Y;H;Min;S;TJUL;lon;lat;NO3+2;SiO3;Sal;Chlorophyll;Pheophytin;Alk;TCO2,14,Ryofu_Maru_2000_2009,8,OBSERVER,10,Your input,11,expocode;UC;UC_Gv2;UC_Carina,1
1,  QF,27,Westernmost Longitude:,113,LONGITUDE,1253,Year,117,Date/Time,147,Station,69,LONGITUDE,92,Lat,133,Longitude,95,YEAR_DEC,9,Depth,22,Date,288,SSS,38,   SST,5,EQ_TMP,290,0.0,0.0,CruiseID,14,20130510GEMDJMAYT,67,xCO2 (ppm),6,0.0,0.0,TIME_UTC_hh:mm:ss,534,SST(TSG)_C,210,Group_Ship,8,0.0,0.0,Alberto,4,0.0,0.0,Ryofu_Maru_2010_2013,8,ARRIVE_DATE,10,Metadata element name,11,0.0,0.0
2,Bottle,16,"Enter decimal fractions of degrees:  (+ = E, - = W)",113,LATITUDE,1233,Month,115,QC Note,145,Mo,68,CTDTMP,91,Lon,122,Latitude,95,LATY,8,O2,18,Latitude,286,LONG,35,Cruise,5,LATITUDE,280,0.0,0.0,Type,13,20100108MIRCJHATS,39,Salinity,6,0.0,0.0,TEMP_EQU_C,534,PRES_EQUIL_hPa,130,PI,8,0.0,0.0,First name,4,0.0,0.0,metadata ,8,SHIP/EXPERIMENT,10,No,11,0.0,0.0
3,xCO2_sea [ppm_dry],13,Temporal Coverage,90,EQ_TMP,981,Hour,108,Mode,134,Comments,68,ALKALI,90,xCO2_Eq,73,Salinity,70,5,8,Temp.,17,Longitude,286,PATM,35, TmpEq,5,LONGITUDE,280,0.0,0.0,SUBFLAG,13,20091206MIRCJHATS,23,EXPOCODE,6,0.0,0.0,xCO2_EQU_ppm,534,LAT_DEC_DEGREE,130,Time,7,0.0,0.0,0.0,0.0,0.0,0.0,Keifu_Maru_2001_2012,8,CRUISE_NAME,10,Help reference no.,11,0.0,0.0
4,distance [km],13,Start Date: (YYYYMMDD) ,90,ATM_PRE,940,Day,108,xCO2,131,Year,68,TCARBN,88,delta xCO2,73,Year,70,12,8,NO3,12,F,270,LAT,35,AtmPrs,5,ATM_PRE,262,0.0,0.0,xCO2ATM_PPM [ppm],12,20140129PRINUNIVRMK,18,Temperature of equilibration,5,0.0,0.0,SST_C,534,EqTEMP_C,130,Temp_equ,7,0.0,0.0,0.0,0.0,0.0,0.0,Keifu_Maru_2012_2013,8,CRUISE_ID,10,0.0,0.0,0.0,0.0
5,equ_temp [degC],13,Submission Dates (will be completed by the data management),54,SSS,925,Second,100,Value,16,Time(UTC),68,SILCAT,86,Flag_x,73,Sea xpco2,69,LNGY,8,SiO4,11,QF,252,DATE/Hour,24, Time,5,DATE,260,0.0,0.0,WindDirn_True [degrees],12,20100528MIRCJHATS,12,SST,5,0.0,0.0,SAL_permil,513,SAL(TSG)_PERMIL,130,CO2p_equ,7,0.0,0.0,0.0,0.0,0.0,0.0,Ryofu_Maru_1989_1995,8,DEPARTURE_DATE,10,0.0,0.0,0.0,0.0
6,pCO2_sea_wet_IStemp [uatm],13,Initial Submission: (YYYYMMDD) ,54,SST,917,Minute,99,Parameter,16,Day,67,DATE,85,hhmmss,73,Dry Bulb,69,3,8,PO4,11,H2O (mmol/mol),252,TEQ,18,     Lon,5,XCO2_AIR,252,0.0,0.0,WOCE_QC_FLAG,12,20120209PACIFICA1201b2,9,Latitude (decimal),5,0.0,0.0,WOCE_QC_FLAG,502,fCO2W@SST_uATM,130,CO2f_sst,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COMMENTS,10,0.0,0.0,0.0,0.0
7,year [UTC],13,Measurement platform ID:,47,EQ_PRE,816,Day of Year,78,,6,stdev,6,SALNTY,85,fCO2_SST,73, Air xpco2,69,13,8,DIC,10,,250,EXPOCODE,16,xCO2eq,5,SSS,252,0.0,0.0,xCO2ATM_PPM_INTERPOLATED [ppm],12,20140131PRINUNIVRMK,8,Longitude (decimal),5,0.0,0.0,PRES_ATM@SSP_hPa,502,LONG_DEC_DEGREE,130,Date,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEPARTURE_PORT,10,0.0,0.0,0.0,0.0
8,winddir_tru [deg],13,Ship,47,EXPOCODE,789,SSS ,61,Notes,4,Numerator,2,TCARBN_FLAG_W,85,yyyymmdd,73,Pressure(sea level),69,11,8,Alk,10,dfCO2,212,MM,15,    SSS,5,DEL_FCO2,244,0.0,0.0,JD_GMT,12,20091215PRINUNIVRMK,8,Atmospheric Pressure (mb),4,0.0,0.0,fCO2_ATM_interpolated_uatm,502,TIME_HH:MM:SS,130,Salt_tsg,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARRIVE_PORT,10,0.0,0.0,0.0,0.0
9,minute [UTC],13,CTD,45,CRUISE,732,Cruise_ID,59,CO2,3,434(Av),2,ALKALI_FLAG_W,85,pCO2_SST,73,Mo,69,6,8,Sal.,8,dpCO2,154,FLUO,13,      Date,5,EXPOCODE,234,0.0,0.0,fCO2SW_UATM [uatm],12,20110427IOSDFOJC,6,Time (UTC),3,0.0,0.0,xCO2_ATM_interpolated_ppm,502,PRES_SEALEVEL_hPa,124,Lat,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEG,10,0.0,0.0,0.0,0.0
